cbsa_code,cbsa_name,year,quarter,total_residential_addresses,vacant_addresses,no_stat_addresses,vacancy_rate,vacancy_rate_incl_nostat,zip_count,dq_flag
12060,,2015,1,2509764.0,94716.0,33545.0,0.03773900653607271,0.0511048050733057,10,
12060,,2015,2,2503792.0,121186.0,34522.0,0.048400985385367475,0.06218887191907315,5,
12060,,2015,3,2317747.0,76911.0,33179.0,0.033183518304629456,0.04749871319000736,5,
12060,,2015,4,2398527.0,101697.0,28057.0,0.04239977286059319,0.05409736892684552,5,
12060,,2016,1,2419648.0,87666.0,30376.0,0.036230889782315444,0.04878478191869231,9,
12060,,2016,2,2356045.0,88866.0,30831.0,0.037718294854300324,0.0508042078992549,8,
12060,,2016,3,2430380.0,80219.0,35099.0,0.03300677260346119,0.04744854714077634,5,
12060,,2016,4,2598798.0,121633.0,30414.0,0.04680356072307274,0.0585066634651866,8,
12060,,2017,1,2391905.0,116549.0,31821.0,0.048726433533104366,0.06203005554150353,7,
12060,,2017,2,2659784.0,86807.0,44228.0,0.03263686073756365,0.04926527868428414,5,
12060,,2017,3,2487776.0,93852.0,32425.0,0.037725261438328855,0.05075899116319154,7,
12060,,2017,4,2531059.0,147509.0,29057.0,0.05827955808220986,0.06975973298133312,6,
12060,,2018,1,2420535.0,125108.0,27048.0,0.051686094189920824,0.06286048332290176,10,
12060,,2018,2,2711546.0,115088.0,39936.0,0.04244368341897943,0.05717181268545693,6,
12060,,2018,3,2449209.0,118351.0,28249.0,0.04832213175764093,0.059856059650278924,8,
12060,,2018,4,2477995.0,104144.0,28795.0,0.04202752628637265,0.05364780800606942,8,
12060,,2019,1,2431097.0,108782.0,34820.0,0.04474605497024594,0.05906880720925574,7,
12060,,2019,2,2430586.0,114528.0,25055.0,0.047119501223161823,0.05742771496256458,9,
12060,,2019,3,2399899.0,109381.0,22398.0,0.04557733471283583,0.05491022747207278,5,
12060,,2019,4,2389152.0,87540.0,33106.0,0.0366406155824326,0.05049741498238706,7,
12060,,2020,1,2467849.0,110486.0,24950.0,0.04477016219387815,0.05488018108077115,8,
12060,,2020,2,2384971.0,75795.0,28829.0,0.03178026064048577,0.043868038647010804,10,
12060,,2020,3,2472766.0,85528.0,31659.0,0.034587987702839655,0.047391059242969207,9,
12060,,2020,4,2454826.0,128409.0,33187.0,0.05230879907577971,0.06582788352412758,10,
12060,,2021,1,2519293.0,74447.0,31681.0,0.02955075094480872,0.0421261044269166,9,
12060,,2021,2,2301391.0,80169.0,29056.0,0.03483501934264973,0.047460427193814526,8,
12060,,2021,3,2727311.0,78404.0,29099.0,0.028747729906856975,0.03941721351177038,6,
12060,,2021,4,2556039.0,95672.0,38441.0,0.037429788825600864,0.05246907421991605,8,
12060,,2022,1,2380993.0,96715.0,29737.0,0.040619607029504075,0.05310893396158661,7,
12060,,2022,2,2364908.0,109485.0,34592.0,0.046295669852696175,0.06092287733814592,5,
12060,,2022,3,2403307.0,99405.0,28569.0,0.041361756945741845,0.05324912714022803,5,
12060,,2022,4,2497294.0,61523.0,30850.0,0.02463586586120817,0.036989237150291475,8,
12060,,2023,1,2416176.0,100753.0,30155.0,0.04169936296031415,0.05417982795955262,5,
12060,,2023,2,2388974.0,85046.0,30436.0,0.03559938283129076,0.04833958008751874,9,
12060,,2023,3,2468031.0,55800.0,31461.0,0.022609116336058988,0.035356525100373536,10,
12060,,2023,4,2624128.0,73374.0,26955.0,0.027961288473732988,0.038233272157455735,5,
12060,,2024,1,2508475.0,53480.0,29077.0,0.02131972612842464,0.03291123092715694,8,
12060,,2024,2,2516102.0,64286.0,31652.0,0.02554983859954803,0.03812961477714338,10,
12060,,2024,3,2388323.0,119496.0,35172.0,0.050033433501247525,0.06476008479590072,10,
12060,,2024,4,2524348.0,69425.0,37419.0,0.027502151050489077,0.04232538461416572,7,
12420,,2015,1,919918.0,39799.0,8283.0,0.04326363871562466,0.05226770212127603,5,
12420,,2015,2,952271.0,37105.0,12536.0,0.03896474848021204,0.05212906830093534,6,
12420,,2015,3,915459.0,42113.0,8326.0,0.0460020601687241,0.05509695136538065,6,
12420,,2015,4,1025630.0,37614.0,13178.0,0.036674044245975645,0.04952273236937297,10,
12420,,2016,1,980184.0,39893.0,11536.0,0.04069950131811986,0.052468720158664085,6,
12420,,2016,2,967305.0,29239.0,13933.0,0.030227280950682566,0.044631217661440806,8,
12420,,2016,3,948519.0,35994.0,10403.0,0.037947579331568476,0.048915203596343354,7,
12420,,2016,4,1080846.0,44511.0,12893.0,0.04118162994543163,0.053110248823606696,7,
12420,,2017,1,1058117.0,45226.0,12835.0,0.0427419652080063,0.054872003757618484,9,
12420,,2017,2,998389.0,37632.0,9922.0,0.03769272297671549,0.047630733111041886,7,
